Fundos/Carteiras Adm,PL
FIRF GERAES,R$ 499.229.195
FIRF GERAES 30,R$ 279.486.930
BORDEAUX FIM,R$ 1.705.243
BH FIM,R$ 585.692
GLOBAL BONDS,R$ 29.674.771
TOPAZIO FIM,R$ 2.108.555
AF TÁTICO,R$ 48.533.218
ROMEU FC FIM CP IE,R$ 223.279.041
HORIZONTE,R$ 249.925.750
JERA2026,R$ 201.314.362
REAL FIM,R$ 38.463.034
SANKALPA FIM,R$ 615.856
AYA NMK FIM,R$ 592.084
AF INVEST GERAES PREV,R$ 4.267.488
BBRASIL FIM CP RESP,R$ 123.211.274
BMG SEG,R$ 120.543.730
BH FIRF INFRA,R$ 123.407.043
BORDEAUX INFRA,R$ 47.934.866
TOPAZIO INFRA,R$ 31.940.998
MANACA INFRA FIRF,R$ 42.299.390
RIO INFRA,R$ 73.910.442
AF DEB INCENTIVADAS,R$ 12.367.798
IMA-B,--
