Fundos/Carteiras Adm,Fundos/Carteiras Adm,PL,Weights,PL_atualizado,Adm,Max Contratos DI_33,Max Contratos WDO1,Contratos DI_33,Contratos WDO1
GLOBAL BONDS,GLOBAL BONDS,29796115.0,4.0,"R$119,184,460",SANTANDER,18.681007196964863,17.718068681657396,-6,5
HORIZONTE,HORIZONTE,240930319.0,1.0,"R$240,930,319",BTG,37.76348882401313,35.81691723514648,-12,10
JERA2026,JERA2026,191147694.0,2.0,"R$382,295,388",SANTANDER,59.921091177444396,56.832375137369944,-18,17
REAL FIM,REAL FIM,36463215.0,2.0,"R$72,926,430",SANTANDER,11.430510015139173,10.841308467967051,-4,3
BH FIRF INFRA,BH FIRF INFRA,77314727.0,2.0,"R$154,629,454",BTG,24.23666594652312,22.987353268867288,-7,7
BORDEAUX INFRA,BORDEAUX INFRA,45417246.0,2.0,"R$90,834,492",BTG,14.237424902413007,13.503537020845327,-4,4
TOPAZIO INFRA,TOPAZIO INFRA,30777380.0,2.0,"R$61,554,760",BTG,9.648111125959247,9.15078581018815,-3,3
MANACA INFRA FIRF,MANACA INFRA FIRF,40334603.0,2.0,"R$80,669,206",BTG,12.644114995020667,11.992356490122694,-4,4
AF DEB INCENTIVADAS,AF DEB INCENTIVADAS,11563897.0,3.0,"R$34,691,691",BTG,5.4375858165223985,5.157297887835677,-2,1
Total,Total,703745196.0,20.0,"R$1,237,716,200",,194.0,184.0,-60,54
