,Fundos/Carteiras Adm,PL
0,FIRF GERAES,R$ 505.112.193
1,FIRF GERAES 30,R$ 286.868.703
2,BORDEAUX FIM,R$ 1.664.113
3,BH FIM,R$ 506.664
4,SANTANA,R$ 31.516.657
5,GLOBAL BONDS,R$ 29.796.115
6,TOPAZIO FIM,R$ 1.762.115
7,AF TÁTICO,R$ 43.831.578
8,ROMEU FC FIM CP IE,R$ 213.128.329
9,HORIZONTE,R$ 240.930.319
10,JERA2026,R$ 191.147.694
11,REAL FIM,R$ 36.463.215
12,SANKALPA FIM,R$ 595.582
13,AYA NMK FIM,R$ 1.479.153
14,AF INVEST GERAES PREV,R$ 4.408.861
15,BBRASIL FIM CP RESP,R$ 97.688.101
16,BMG SEG,R$ 115.345.612
17,BH FIRF INFRA,R$ 77.314.727
18,BORDEAUX INFRA,R$ 45.417.246
19,TOPAZIO INFRA,R$ 30.777.380
20,MANACA INFRA FIRF,R$ 40.334.603
21,CDI,--
22,AF DEB INCENTIVADAS,R$ 11.563.897
23,IMA-B,--
