Fundos/Carteiras Adm,2025-01-01,2025-01-02,2025-01-03,2025-01-04,2025-01-05,2025-01-06,2025-01-07,2025-01-08,2025-01-09,2025-01-10,2025-01-11,2025-01-12,2025-01-13,2025-01-14,2025-01-15,2025-01-16,2025-01-17,2025-01-18,2025-01-19,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,2025-01-25,2025-01-26,2025-01-27,2025-01-28,2025-01-29,2025-01-30,2025-01-31,2025-02-01,2025-02-02,2025-02-03,2025-02-04,2025-02-05,2025-02-06,2025-02-07,2025-02-08,2025-02-09,2025-02-10,2025-02-11,2025-02-12,2025-02-13,2025-02-14,2025-02-15,2025-02-16,2025-02-17,2025-02-18,2025-02-19,2025-02-20,2025-02-21,2025-02-22,2025-02-23,2025-02-24,2025-02-25,2025-02-26,2025-02-27,2025-02-28,2025-03-01,2025-03-02,2025-03-03,2025-03-04,2025-03-05,2025-03-06,2025-03-07,2025-03-08,2025-03-09,2025-03-10,2025-03-11,2025-03-12,2025-03-13,2025-03-14,2025-03-15,2025-03-16,2025-03-17,Último Valor
AF DEB INCENTIVADAS,--,"R$ 11.872.876,26","R$ 11.725.635,32",--,--,"R$ 11.772.948,06","R$ 11.748.277,03","R$ 11.771.658,07","R$ 11.776.481,27","R$ 11.743.242,97",--,--,"R$ 11.727.531,83","R$ 11.760.122,54","R$ 11.802.678,32","R$ 11.754.830,32","R$ 11.728.879,70",--,"R$ 11.872.876,26","R$ 11.710.148,71","R$ 11.659.620,00","R$ 11.676.969,31","R$ 11.660.312,30","R$ 11.685.691,35",--,--,"R$ 11.698.526,77","R$ 11.702.583,22","R$ 11.691.989,84","R$ 11.822.415,36","R$ 11.813.383,44",--,--,"R$ 11.872.876,26","R$ 11.836.455,26",--,"R$ 11.824.717,92","R$ 11.816.573,25",--,--,"R$ 11.819.644,02","R$ 11.872.876,26","R$ 11.872.876,26","R$ 11.868.351,33","R$ 11.935.070,10",--,--,"R$ 11.983.146,17","R$ 11.977.915,18","R$ 11.959.522,14","R$ 11.970.174,24","R$ 11.994.240,83",--,--,"R$ 11.971.587,68","R$ 12.005.053,08","R$ 12.005.053,08",--,"R$ 11.887.475,75",--,--,--,--,"R$ 11.965.254,56","R$ 11.949.295,71","R$ 11.981.766,87",--,--,--,"R$ 12.048.249,94","R$ 12.048.249,94","R$ 12.048.174,38","R$ 12.062.088,49",--,--,--,"R$ 11.872.876,26"
AF INVEST GERAES PREV,--,"R$ 4.285.066,07","R$ 4.425.384,80",--,--,"R$ 4.428.581,04","R$ 4.428.511,79","R$ 4.429.899,40","R$ 4.432.185,52","R$ 4.434.243,30",--,--,"R$ 4.431.629,96","R$ 4.434.048,83","R$ 4.436.659,16","R$ 4.439.848,49","R$ 4.441.576,09",--,"R$ 4.285.066,07","R$ 4.446.107,45","R$ 4.447.726,77","R$ 4.451.725,62","R$ 4.453.166,71","R$ 4.446.062,98",--,--,"R$ 4.446.393,32","R$ 4.447.891,99","R$ 4.450.409,14","R$ 4.451.506,52","R$ 4.452.466,37",--,--,"R$ 4.285.066,07","R$ 4.455.381,73",--,"R$ 4.419.740,21","R$ 4.423.893,06",--,--,"R$ 4.426.820,25","R$ 4.285.066,07","R$ 4.285.066,07","R$ 4.287.184,16","R$ 4.312.040,21",--,--,"R$ 4.316.803,85","R$ 4.320.300,57","R$ 4.320.964,33","R$ 4.321.112,06","R$ 4.324.283,74",--,--,"R$ 4.150.182,71","R$ 4.153.255,04","R$ 4.153.255,04",--,"R$ 4.158.827,20",--,--,--,--,"R$ 4.157.235,55","R$ 4.159.551,87","R$ 4.161.047,53",--,--,--,"R$ 4.166.635,68","R$ 4.166.635,68",--,"R$ 4.171.646,67",--,--,--,"R$ 4.285.066,07"
AF TÁTICO,--,"R$ 44.654.974,46","R$ 44.409.219,12",--,--,"R$ 44.409.318,68","R$ 44.520.326,57","R$ 44.532.522,19","R$ 44.469.022,97","R$ 44.515.277,79",--,--,"R$ 44.473.109,37","R$ 44.462.882,33","R$ 44.540.098,48","R$ 44.422.261,88","R$ 44.417.079,58",--,"R$ 44.654.974,46","R$ 44.416.161,41","R$ 44.348.537,09","R$ 44.419.526,72","R$ 44.423.234,31","R$ 44.361.690,28",--,--,"R$ 44.444.956,91","R$ 44.442.479,44","R$ 44.314.899,15","R$ 44.404.326,88","R$ 44.460.667,55",--,--,"R$ 44.654.974,46","R$ 44.630.973,61",--,"R$ 44.501.405,22","R$ 44.504.637,90",--,--,"R$ 44.521.040,30","R$ 44.654.974,46","R$ 44.654.974,46",--,"R$ 44.758.987,21",--,--,"R$ 44.880.661,56","R$ 44.787.903,89","R$ 44.804.508,59","R$ 44.799.407,73","R$ 45.001.893,02",--,--,"R$ 44.908.118,66",--,--,--,"R$ 45.089.492,62",--,--,--,--,"R$ 45.158.508,82","R$ 45.108.553,05",--,--,--,--,--,--,--,--,--,--,--,"R$ 44.654.974,46"
ALFA HORIZON FIA,--,"R$ 11.670.504,51","R$ 10.744.593,60",--,--,"R$ 11.083.157,95","R$ 11.199.559,71","R$ 11.064.280,19","R$ 11.024.834,27","R$ 10.925.383,47",--,--,"R$ 10.874.251,16","R$ 10.906.575,32","R$ 11.453.603,34","R$ 11.331.622,82","R$ 11.252.959,30",--,"R$ 11.670.504,51","R$ 11.250.773,12","R$ 11.228.810,68","R$ 11.276.911,94","R$ 11.139.951,87","R$ 11.182.852,08",--,--,"R$ 11.541.782,63","R$ 11.339.089,56","R$ 11.233.693,24","R$ 11.637.929,59","R$ 11.511.315,53",--,--,"R$ 11.670.504,51","R$ 11.446.078,61",--,"R$ 11.571.836,91","R$ 11.393.472,09",--,--,"R$ 11.576.178,38","R$ 11.670.504,51","R$ 11.670.504,51","R$ 11.525.313,40","R$ 10.198.637,15",--,--,"R$ 10.390.342,05","R$ 10.269.389,91","R$ 10.031.889,45","R$ 10.018.243,95","R$ 9.911.405,12",--,--,"R$ 9.639.197,97","R$ 9.716.396,83","R$ 9.716.396,83",--,"R$ 9.506.930,71",--,--,--,--,"R$ 9.485.459,74","R$ 9.582.892,18","R$ 9.763.544,85",--,--,--,"R$ 9.606.914,86","R$ 9.606.914,86","R$ 9.713.117,87","R$ 10.189.554,48",--,--,--,"R$ 11.670.504,51"
AYA NMK FIM,--,"R$ 1.506.680,81","R$ 1.487.215,66",--,--,"R$ 1.489.398,03","R$ 1.477.695,75","R$ 1.477.573,35","R$ 1.476.251,96","R$ 1.478.464,91",--,--,"R$ 1.467.832,61","R$ 1.468.104,69","R$ 1.470.295,63","R$ 1.470.710,36","R$ 1.469.536,95",--,"R$ 1.506.680,81","R$ 1.472.891,47","R$ 1.472.193,59","R$ 1.474.411,84","R$ 1.474.231,11","R$ 1.475.402,76",--,--,"R$ 1.470.646,50","R$ 1.473.006,30","R$ 1.474.419,39","R$ 1.474.057,72","R$ 1.470.899,09",--,--,"R$ 1.506.680,81","R$ 1.472.525,43",--,"R$ 1.503.926,15","R$ 1.504.810,23",--,--,"R$ 1.505.205,93","R$ 1.506.680,81","R$ 1.506.680,81","R$ 1.507.443,44","R$ 1.469.888,87",--,--,"R$ 1.475.207,96","R$ 1.475.744,32","R$ 1.476.319,11","R$ 1.474.160,33","R$ 1.473.724,01",--,--,"R$ 1.476.581,54","R$ 1.478.320,29","R$ 1.478.320,29",--,"R$ 1.475.282,39",--,--,--,--,"R$ 1.476.619,75","R$ 1.477.420,09",--,--,--,--,--,--,--,--,--,--,--,"R$ 1.506.680,81"
BBRASIL FIM CP RESP,--,"R$ 99.341.535,93","R$ 98.097.976,50",--,--,"R$ 98.162.809,67","R$ 98.221.846,70","R$ 98.264.899,02","R$ 98.306.835,38","R$ 98.351.309,37",--,--,"R$ 98.396.080,17","R$ 98.442.420,47","R$ 98.487.485,83","R$ 98.531.970,47","R$ 98.576.403,24",--,"R$ 99.341.535,93","R$ 98.621.069,54","R$ 98.665.030,55","R$ 98.709.233,66","R$ 98.753.062,98","R$ 98.796.977,44",--,--,"R$ 98.840.048,07","R$ 98.883.608,78","R$ 98.926.507,34","R$ 98.969.566,81","R$ 99.016.667,38",--,--,"R$ 99.341.535,93","R$ 99.110.411,23",--,"R$ 99.200.741,01","R$ 99.245.028,91",--,--,"R$ 99.281.277,02","R$ 99.341.535,93","R$ 99.341.535,93","R$ 99.393.099,61","R$ 99.489.751,55",--,--,"R$ 99.538.342,41","R$ 99.586.573,57","R$ 99.634.402,95","R$ 99.682.118,39","R$ 99.729.788,03",--,--,"R$ 99.777.906,20","R$ 99.826.011,73","R$ 99.826.011,73",--,"R$ 99.971.548,15",--,--,--,--,"R$ 100.021.289,10","R$ 100.069.976,73","R$ 100.118.754,98",--,--,--,"R$ 115.222.114,89","R$ 115.222.114,89","R$ 97.271.441,62",--,--,--,--,"R$ 99.341.535,93"
BH FIM,--,"R$ 446.979,40","R$ 502.433,38",--,--,"R$ 505.046,78","R$ 502.439,44","R$ 499.839,05","R$ 498.829,07","R$ 501.665,64",--,--,"R$ 438.800,12","R$ 438.928,62","R$ 442.172,30","R$ 436.914,34","R$ 438.221,69",--,"R$ 446.979,40","R$ 445.150,31","R$ 442.131,62","R$ 440.262,89","R$ 444.034,04","R$ 438.491,47",--,--,"R$ 439.264,36","R$ 452.651,81","R$ 455.830,08","R$ 456.674,58","R$ 445.754,17",--,--,"R$ 446.979,40","R$ 444.144,43",--,"R$ 445.148,04","R$ 448.194,34",--,--,"R$ 448.809,59","R$ 446.979,40","R$ 446.979,40","R$ 445.807,47","R$ 442.769,47",--,--,"R$ 451.214,28","R$ 452.356,41","R$ 449.572,78","R$ 439.819,81","R$ 442.147,76",--,--,"R$ 448.472,62","R$ 451.708,67","R$ 451.708,67",--,"R$ 491.424,76",--,--,--,--,"R$ 491.439,99","R$ 498.612,50","R$ 496.225,43",--,--,--,"R$ 492.980,23","R$ 492.980,23","R$ 504.903,46",--,--,--,--,"R$ 446.979,40"
BH FIRF INFRA,--,"R$ 119.849.733,68","R$ 117.906.205,46",--,--,"R$ 117.938.449,61","R$ 118.046.932,88","R$ 118.149.635,17","R$ 118.221.688,45","R$ 118.262.537,01",--,--,"R$ 118.375.811,79","R$ 118.407.205,03","R$ 118.555.358,44","R$ 118.518.905,17","R$ 118.605.977,20",--,"R$ 119.849.733,68","R$ 118.645.309,67","R$ 118.716.285,85","R$ 118.770.658,47","R$ 118.876.886,93","R$ 118.906.418,01",--,--,"R$ 118.952.021,02","R$ 119.027.561,14","R$ 119.085.673,09","R$ 118.884.243,31","R$ 119.078.640,89",--,--,"R$ 119.849.733,68","R$ 119.369.583,95",--,"R$ 119.587.760,87","R$ 119.548.689,03",--,--,"R$ 119.721.971,51","R$ 119.849.733,68","R$ 119.849.733,68","R$ 119.966.557,87","R$ 119.994.718,19",--,--,"R$ 119.986.272,92","R$ 120.035.430,01","R$ 120.181.685,53","R$ 120.148.609,44","R$ 120.180.040,60",--,--,"R$ 120.323.305,82","R$ 120.482.179,08","R$ 120.482.179,08",--,"R$ 120.873.168,02",--,--,--,--,"R$ 120.758.533,47","R$ 120.635.057,04","R$ 120.732.946,00",--,--,--,"R$ 120.899.026,95","R$ 120.899.026,95","R$ 120.918.811,85",--,--,--,--,"R$ 119.849.733,68"
BMG SEG,--,"R$ 117.321.059,60","R$ 115.821.667,94",--,--,"R$ 115.897.515,31","R$ 115.966.632,12","R$ 116.016.594,17","R$ 116.066.820,53","R$ 116.118.367,39",--,--,"R$ 116.172.825,54","R$ 116.229.101,54","R$ 116.287.258,06","R$ 116.340.979,90","R$ 116.393.650,41",--,"R$ 117.321.059,60","R$ 116.446.693,57","R$ 116.499.057,88","R$ 116.551.787,87","R$ 116.604.533,42","R$ 116.656.020,06",--,--,"R$ 116.709.044,86","R$ 116.763.940,73","R$ 116.817.151,87","R$ 116.871.405,80","R$ 116.928.974,02",--,--,"R$ 117.321.059,60","R$ 117.041.905,24",--,"R$ 117.146.844,79","R$ 117.203.504,80",--,--,"R$ 117.260.448,91","R$ 117.321.059,60","R$ 117.321.059,60","R$ 117.384.147,03","R$ 117.498.438,49",--,--,"R$ 117.555.068,29","R$ 117.611.074,02","R$ 117.667.337,87","R$ 117.723.649,68","R$ 117.780.088,05",--,--,"R$ 117.837.313,70","R$ 117.895.964,08","R$ 117.895.964,08",--,"R$ 118.070.593,56",--,--,--,--,"R$ 118.129.362,21","R$ 118.186.693,94","R$ 118.244.265,13",--,--,--,"R$ 118.356.610,15","R$ 118.356.610,15","R$ 118.413.414,52","R$ 118.527.137,12",--,--,--,"R$ 117.321.059,60"
BORDEAUX FIM,--,"R$ 1.639.046,11","R$ 1.659.108,46",--,--,"R$ 1.661.267,76","R$ 1.659.512,83","R$ 1.658.326,53","R$ 1.658.132,59","R$ 1.660.833,98",--,--,"R$ 1.624.283,67","R$ 1.623.568,61","R$ 1.625.301,09","R$ 1.623.722,20","R$ 1.625.652,95",--,"R$ 1.639.046,11","R$ 1.629.594,26","R$ 1.628.014,19","R$ 1.628.142,18","R$ 1.631.129,87","R$ 1.627.602,08",--,--,"R$ 1.629.338,05","R$ 1.635.941,20","R$ 1.637.853,24","R$ 1.638.894,50","R$ 1.633.546,89",--,--,"R$ 1.639.046,11","R$ 1.634.945,84",--,"R$ 1.639.465,00","R$ 1.639.701,42",--,--,"R$ 1.640.672,11","R$ 1.639.046,11","R$ 1.639.046,11","R$ 1.638.106,00","R$ 1.637.287,78",--,--,"R$ 1.643.050,85","R$ 1.644.266,64","R$ 1.642.499,07","R$ 1.637.453,07","R$ 1.639.559,27",--,--,"R$ 1.643.031,40",--,--,--,"R$ 1.672.399,41",--,--,--,--,"R$ 1.673.053,82","R$ 1.677.828,58",--,--,--,--,--,--,"R$ 1.685.490,55",--,--,--,--,"R$ 1.639.046,11"
